date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:29:12	1276/1276	---M-Z	200	added ('OK')	text/plain	etag:%2293d0bf1ed9daec6b7477c2d96fc77be4%22	https://www.amazon.com/robots.txt		(from )
08:29:13	563629/563629	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202024%2005:29:12%20GMT	https://www.amazon.com/	C:/My%20Web%20Sites/sd/www.amazon.com/index.html	(from )
08:29:14	421755/421755	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2008%20Jul%202024%2005:29:14%20GMT	https://www.amazon.com/service-worker.js	C:/My%20Web%20Sites/sd/www.amazon.com/service-worker.js	(from https://www.amazon.com/)
08:29:14	196224/196224	---M-Z	200	added ('OK')	text/css	date:Thu,%2004%20Jun%202020%2016:54:02%20GMT	https://m.media-amazon.com/images/I/11EIQ5IGqaL._RC|01e5ncglxyL.css,01lF2n-pPaL.css,41SwWPpN5yL.css,31+Z83i6adL.css,01IWMurvs8L.css,01ToTiqCP7L.css,01qPl4hxayL.css,01ITNc8rK9L.css,413Vvv3GONL.css,11TIuySqr6L.css,01Rw4F+QU6L.css,11j54vTBQxL.css,01pbKJp5dbL.css,01IdKcBuAdL.css,01y-XAlI+2L.css,213SZJ8Z+PL.css,01oDR3IULNL.css,51qPa7JG96L.css,01XPHJk60-L.css,01dmkcyJuIL.css,01B9+-hVWxL.css,21Ol27dM9tL.css,11JRZ3s9niL.css,21wA+jAxKjL.css,11U8GXfhueL.css,01CFUgsA-YL.css,316CD+csp-L.css,116t+WD27UL.css,11uWFHlOmWL.css,11v8YDG4ifL.css,11otOAnaYoL.css,01FwL+mJQOL.css,11NDsgnHEZL.css,21RE+gQIxcL.css,11CLXYZ6DRL.css,012f1fcyibL.css,21w-O41p+SL.css,11XH+76vMZL.css,11hvENnYNUL.css,11FRI-QT39L.css,01890+Vwk8L.css,01864Lq457L.css,01cbS3UK11L.css,21F85am0yFL.css,01ySiGRmxlL.css,016Sx2kF1+L.css_.css?AUIClients/AmazonUI	C:/My%20Web%20Sites/sd/m.media-amazon.com/images/I/11EIQ5IGqaL._RC_01e5ncglxyL.css,01lF2n-pPaL.css,41SwWPpN5yL.css,31+Z83i6adL.css,01IWMurvs8L.css,01ToTiqCP7L.css,01qPl4hxayL.css,01ITNc8rK9L.css,413Vvv3GONL.css,11TIuySqr6L.css,01Rw4F+QU6L.c	(from https://www.amazon.com/)
08:29:14	1684/1684	---M-Z	404	error ('Not%20Found')	text/html	etag:%22694-61796b2966d40-gzip%22	https://www.amazon.com/@c/	C:/My%20Web%20Sites/sd/www.amazon.com/@c/index.html	(from https://www.amazon.com/)
08:29:14	93236/93236	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2001%20May%202024%2019:42:09%20GMT	https://m.media-amazon.com/images/I/61xJcNKKLXL.js?AUIClients/AmazonUIjQuery	C:/My%20Web%20Sites/sd/m.media-amazon.com/images/I/61xJcNKKLXLdce7.js	(from https://www.amazon.com/)
08:29:15	1684/1684	---M-Z	404	error ('Not%20Found')	text/html	etag:%22694-61796b2966d40-gzip%22	https://www.amazon.com/@m/	C:/My%20Web%20Sites/sd/www.amazon.com/@m/index.html	(from https://www.amazon.com/)
08:29:15	1684/1684	---M-Z	404	error ('Not%20Found')	text/html	etag:%22694-61796b2966d40-gzip%22	https://www.amazon.com/sp.load.js	C:/My%20Web%20Sites/sd/www.amazon.com/sp.load.js	(from https://www.amazon.com/)
08:29:15	1684/1684	---M-Z	404	error ('Not%20Found')	text/html	etag:%22694-61796b2966d40-gzip%22	https://www.amazon.com/@p/	C:/My%20Web%20Sites/sd/www.amazon.com/@p/index.html	(from https://www.amazon.com/)
08:29:15	52976/52976	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2027%20Dec%202023%2003:11:14%20GMT	https://m.media-amazon.com/images/I/51BqsgbDI7L.js?AUIClients/CardJsRuntimeBuzzCopyBuild	C:/My%20Web%20Sites/sd/m.media-amazon.com/images/I/51BqsgbDI7L4221.js	(from https://www.amazon.com/)
